cust_id,application_date,age,monthly_income,employment_type,residential_status,credit_limit,debt_to_income,bureau_score,inq_6m,delinq_12m,active_trades,default_12m,inq_3m,delinq_6m,residence_tenure,emi_to_income_ratio,new_trades_3m,utilization_ratio,thin_file_flag,ptp_flag_bureau,education_level,gender,marital_status,risk_region_flag,channel_code
CUST000001,2022-04-13,50,15146.0,SALARIED,RENT,15000,0.67,584.0,2,1,1,1,1,1,10,0.35,2,0.15,1,0,MASTERS,MALE,MARRIED,0,ONLINE
CUST000002,2022-12-15,30,9762.0,SALARIED,OWN,5000,0.27,761.0,1,0,7,0,1,0,2,0.2,2,0.02,0,1,BACHELORS,FEMALE,MARRIED,0,ONLINE
CUST000003,2022-09-28,59,3000.0,SALARIED,RENT,15000,0.25,664.0,2,1,7,0,1,0,10,0.16,2,0.68,0,0,OTHER,MALE,SINGLE,0,ONLINE
CUST000004,2022-04-17,48,17437.0,SELF-EMPLOYED,RENT,20000,0.38,810.0,1,1,5,0,0,0,10,0.35,2,0.3,0,0,MASTERS,FEMALE,SINGLE,1,BRANCH
CUST000005,2022-03-13,56,15042.0,SALARIED,OWN,5000,0.28,708.0,2,0,8,0,0,0,13,0.19,3,0.38,0,0,MASTERS,MALE,MARRIED,0,BRANCH
CUST000006,2022-07-08,33,5028.0,SALARIED,OTHER,15000,0.23,665.0,2,0,5,0,2,0,16,0.43,0,0.48,0,1,OTHER,FEMALE,SINGLE,0,BRANCH
CUST000007,2022-01-21,52,9570.0,SALARIED,RENT,15000,0.28,697.0,2,0,4,0,2,0,2,0.45,0,0.38,0,0,BACHELORS,MALE,SINGLE,0,DSA
CUST000008,2022-04-13,56,18273.0,SALARIED,RENT,30000,0.56,574.0,2,0,6,1,1,0,4,0.28,0,0.2,0,0,BACHELORS,MALE,SINGLE,0,ONLINE
CUST000009,2022-05-02,57,17791.0,SELF-EMPLOYED,RENT,10000,0.33,726.0,3,0,5,0,0,0,12,0.19,2,0.32,0,0,MASTERS,MALE,MARRIED,0,BRANCH
CUST000010,2022-08-03,46,15755.0,SELF-EMPLOYED,OWN,10000,0.15,803.0,1,0,3,0,0,0,1,0.05,1,0.61,0,0,BACHELORS,FEMALE,MARRIED,0,ONLINE
CUST000011,2022-11-27,42,11296.0,SALARIED,OWN,15000,0.12,571.0,0,0,2,0,0,0,5,0.2,2,0.16,0,0,BACHELORS,FEMALE,MARRIED,0,ONLINE
CUST000012,2022-03-29,24,12332.0,SALARIED,OWN,15000,0.68,661.0,1,0,5,0,1,0,5,0.1,2,0.23,0,1,MASTERS,MALE,MARRIED,0,ONLINE
CUST000013,2022-04-10,51,11476.0,SALARIED,RENT,20000,0.32,670.0,2,0,3,0,2,0,3,0.23,2,0.21,0,0,BACHELORS,FEMALE,SINGLE,0,DSA
CUST000014,2022-12-26,38,16513.0,SALARIED,OWN,20000,0.42,719.0,1,0,4,0,0,0,17,0.32,2,0.33,0,0,BACHELORS,FEMALE,SINGLE,0,BRANCH
CUST000015,2022-06-01,58,8497.0,SELF-EMPLOYED,RENT,20000,0.23,780.0,3,1,5,0,1,1,8,0.25,1,0.12,0,1,BACHELORS,FEMALE,MARRIED,0,ONLINE
CUST000016,2022-05-11,44,8777.0,SALARIED,OWN,30000,0.4,694.0,2,0,3,0,0,0,7,0.28,1,0.11,0,0,OTHER,MALE,SINGLE,0,BRANCH
CUST000017,2022-05-30,43,16041.0,SALARIED,RENT,30000,0.57,782.0,1,0,5,0,0,0,12,0.2,3,0.24,0,0,BACHELORS,FEMALE,MARRIED,0,BRANCH
CUST000018,2022-11-05,42,11823.0,SALARIED,RENT,15000,0.25,684.0,3,0,5,0,2,0,12,0.14,0,0.27,0,0,MASTERS,MALE,MARRIED,0,BRANCH
CUST000019,2022-09-15,22,17514.0,SELF-EMPLOYED,RENT,50000,0.42,698.0,1,0,4,0,0,0,16,0.37,1,0.38,0,0,MASTERS,FEMALE,MARRIED,0,DSA
CUST000020,2022-12-10,51,9314.0,SALARIED,RENT,10000,0.14,691.0,6,0,4,0,1,0,4,0.16,3,0.42,0,0,BACHELORS,MALE,SINGLE,0,ONLINE
CUST000021,2022-10-21,31,11781.0,SELF-EMPLOYED,OTHER,20000,0.65,736.0,1,0,2,0,1,0,18,0.1,1,0.14,0,0,BACHELORS,FEMALE,SINGLE,0,BRANCH
CUST000022,2022-07-11,48,8310.0,SALARIED,OWN,15000,0.39,654.0,2,0,4,0,0,0,19,0.28,0,0.52,0,0,OTHER,MALE,MARRIED,0,ONLINE
CUST000023,2022-10-04,52,12029.0,SALARIED,OWN,30000,0.29,716.0,5,0,4,0,3,0,14,0.15,1,0.48,0,0,OTHER,MALE,MARRIED,0,BRANCH
CUST000024,2022-06-10,25,6086.0,SELF-EMPLOYED,OWN,15000,0.31,613.0,3,1,1,0,1,0,13,0.28,1,0.27,1,0,BACHELORS,FEMALE,SINGLE,0,ONLINE
CUST000025,2022-11-10,58,10049.0,SALARIED,RENT,20000,0.27,661.0,2,0,3,0,0,0,12,0.29,2,0.22,0,0,MASTERS,MALE,SINGLE,0,DSA
CUST000026,2022-01-22,30,6255.0,SALARIED,OWN,30000,0.28,643.0,2,0,3,0,2,0,4,0.31,2,0.07,0,0,MASTERS,FEMALE,MARRIED,0,ONLINE
CUST000027,2022-09-10,60,14776.0,SALARIED,RENT,20000,0.05,679.0,1,1,4,0,0,1,14,0.21,1,0.63,0,0,OTHER,MALE,SINGLE,0,BRANCH
CUST000028,2022-08-24,44,14866.0,SALARIED,OWN,20000,0.34,659.0,0,0,3,0,0,0,16,0.24,0,0.44,0,0,BACHELORS,FEMALE,MARRIED,0,ONLINE
CUST000029,2022-12-11,55,5079.0,SALARIED,RENT,5000,0.33,732.0,1,0,5,0,0,0,1,0.18,0,0.36,0,0,BACHELORS,FEMALE,SINGLE,0,DSA
CUST000030,2022-02-18,64,17336.0,SELF-EMPLOYED,RENT,10000,0.42,631.0,1,1,1,0,0,0,7,0.33,0,0.44,1,0,BACHELORS,FEMALE,DIVORCED,1,DSA
CUST000031,2022-02-28,43,21990.0,SALARIED,RENT,50000,0.27,588.0,7,0,10,0,2,0,15,0.2,1,0.07,0,0,MASTERS,MALE,MARRIED,0,DSA
CUST000032,2022-06-19,37,12184.0,SELF-EMPLOYED,RENT,20000,0.23,607.0,0,0,3,0,0,0,5,0.09,1,0.1,0,0,BACHELORS,MALE,MARRIED,0,ONLINE
CUST000033,2022-07-07,21,9436.0,SALARIED,OWN,15000,0.35,725.0,1,1,8,0,1,0,13,0.21,0,0.54,0,0,BACHELORS,MALE,MARRIED,0,BRANCH
CUST000034,2022-09-28,51,23297.0,SALARIED,OWN,15000,0.11,627.0,2,0,2,0,2,0,8,0.26,2,0.11,0,1,OTHER,FEMALE,MARRIED,1,BRANCH
CUST000035,2022-07-09,51,6724.0,SALARIED,RENT,5000,0.37,695.0,4,0,2,1,3,0,11,0.2,1,0.25,0,0,OTHER,MALE,SINGLE,0,BRANCH
CUST000036,2022-06-24,62,12080.0,SELF-EMPLOYED,OWN,15000,0.07,660.0,4,1,5,0,2,1,14,0.19,3,0.31,0,0,MASTERS,FEMALE,MARRIED,0,ONLINE
CUST000037,2022-02-20,62,12718.0,SELF-EMPLOYED,OTHER,15000,0.52,716.0,0,1,3,0,0,1,1,0.3,0,0.23,0,0,OTHER,MALE,SINGLE,0,BRANCH
CUST000038,2022-12-30,54,17381.0,SELF-EMPLOYED,OTHER,10000,0.45,663.0,0,0,7,1,0,0,12,0.31,2,0.34,0,0,BACHELORS,FEMALE,SINGLE,0,DSA
CUST000039,2022-02-24,29,13439.0,SALARIED,RENT,10000,0.21,813.0,4,0,2,0,3,0,11,0.09,0,0.11,0,0,BACHELORS,MALE,SINGLE,0,DSA
CUST000040,2022-09-01,42,10005.0,SALARIED,OWN,15000,0.45,770.0,0,0,6,0,0,0,0,0.37,1,0.28,0,0,MASTERS,MALE,SINGLE,0,BRANCH
CUST000041,2022-11-16,33,8195.0,SALARIED,RENT,15000,0.37,659.0,3,1,5,0,2,0,15,0.19,2,0.08,0,0,MASTERS,MALE,MARRIED,0,ONLINE
CUST000042,2022-05-11,45,10633.0,SELF-EMPLOYED,OWN,10000,0.2,652.0,0,0,4,0,0,0,9,0.26,4,0.27,0,1,BACHELORS,FEMALE,MARRIED,0,DSA
CUST000043,2022-11-03,38,7972.0,SALARIED,OWN,15000,0.05,832.0,0,0,3,0,0,0,11,0.29,2,0.41,0,0,OTHER,MALE,SINGLE,0,BRANCH
CUST000044,2022-05-15,32,12191.0,SALARIED,OWN,30000,0.4,621.0,1,0,1,0,1,0,7,0.33,1,0.75,1,1,BACHELORS,FEMALE,MARRIED,0,BRANCH
CUST000045,2022-01-21,60,9743.0,SALARIED,OWN,15000,0.23,672.0,5,0,1,0,0,0,3,0.17,1,0.04,1,0,MASTERS,FEMALE,SINGLE,0,BRANCH
CUST000046,2022-11-25,37,6024.0,SALARIED,OWN,30000,0.51,676.0,1,1,6,0,0,1,4,0.26,1,0.14,0,0,BACHELORS,MALE,SINGLE,0,BRANCH
