employment_type,default_flag,emi_to_income_ratio,account_open_date,account_tenure_months,age,amount_income_term_score,annual_interest_rate,application_date,avg_combined_score,balance_utilization_score,behavior_score_gap,bureau_score,credit_card_utilization_pct,dpd_count_30_plus,dpd_max,dpd_recent_flag,loan_size_score,overdue_normalized,pos_transaction_volume,recovery_success_flag,risk_score,tenure_months
Salaried,0,,-0.005504148,-0.04391985,-0.209093758,-0.021956358,-0.514084294,0.0066170143,0.0405609186,0.1237529706,0.2719648809,-0.0396791,0.0567281015,-3.172180762,-1.48136665,0.1063690854,0.1248759354,-0.034177189,-0.226699178,0.3608361475,0.1587874633,-0.545780626
Self-Employed,0,,-0.005504148,0.2996436371,0.1536389802,-0.178560143,-0.525431086,0.0066170143,-0.0359426,0.1237529706,-0.037078319,-0.039746452,0.1971632954,8.9383924969,8.1867741874,0.1063690854,-0.150425186,-0.036510298,0.0742820874,0.3608361475,-0.230796495,-0.545780626
Salaried,0,,0.0708662681,-0.083222465,0.1536389802,0.1248759354,-0.473826314,-0.007771723,0.0257458328,0.1411364563,-0.0359426,,-0.081315228,8.9383924969,8.1867741874,0.1063690854,0.1949286576,-0.108476678,-0.150526689,0.3608361475,0.0416902242,-0.545780626
Salaried,0,,-0.005504148,-0.047358249,0.1967973034,0.1237529706,1.2048827169,-0.192983,0.0405609186,0.1237529706,0.2719648809,0.1837485016,0.0567281015,7.0203393023,6.492843791,0.1063690854,0.1949286576,-0.034177189,-0.150526689,0.3608361475,0.1587874633,0.8543907601
Self-Employed,0,,-0.005504148,-0.083222465,0.0220478549,-0.094560455,-0.525431086,0.0066170143,0.1767150299,-0.268555786,0.0897545526,,0.1587874633,8.9383924969,7.6229724754,0.1063690854,-0.006637293,0.1846451562,0.1099382934,0.3608361475,0.2906570139,-0.545780626
Salaried,0,,0.0753758586,-0.083222465,-0.209093758,-0.094560455,-0.352411922,0.0719955737,-0.108773438,0.1411364563,-0.123962558,,-0.081315228,8.9383924969,8.1867741874,0.1063690854,-0.006637293,0.0253080111,-0.150526689,0.3608361475,-0.050871641,0.0234833884
Salaried,0,,-0.179710229,-0.060004124,0.0801180347,0.1237529706,0.2134383434,0.0077514444,0.0257458328,-0.136701584,-0.080175627,,0.1971632954,8.9383924969,8.1867741874,0.1063690854,0.1778342242,-0.036510298,-0.00166628,0.3608361475,0.0416902242,-0.097422578
Salaried,0,,-0.204959191,-0.047358249,-0.093420854,0.1237529706,0.9561734544,-0.192983,0.0246152504,0.1411364563,-0.123962558,,0.0567281015,8.9383924969,7.4224248871,0.1063690854,-0.006637293,0.1846451562,0.0742820874,0.3608361475,-0.050871641,1.2395171253
Salaried,0,,0.0753758586,-0.060004124,0.0910011765,-0.094560455,0.3746749552,0.1778342242,0.0246152504,-0.268555786,-0.021956358,-0.0396791,-0.097987072,8.9383924969,8.1867741874,0.1063690854,-0.006637293,-0.034177189,-0.00166628,0.3608361475,0.1248759354,0.2073945779
Salaried,0,,0.2100807577,-0.083222465,-0.093420854,-0.177411377,-0.177411377,0.1778342242,-0.151571318,-0.203807781,-0.080175627,,0.0567281015,8.9383924969,8.1867741874,0.1063690854,-0.006637293,0.0253080111,0.1316570442,0.3608361475,-0.066752607,-0.36924167
Salaried,0,,-0.048601492,-0.021486224,-0.209093758,0.1599079116,-0.473826314,-0.032543163,0.0257458328,-0.203807781,0.2719648809,,-0.063341574,6.7366976394,7.4224248871,0.1063690854,-0.095701356,0.0253080111,-0.012108583,0.3608361475,-0.050871641,0.0234833884
Salaried,0,,0.0708662681,0.1349262712,0.0220478549,-0.081315228,1.2048827169,-0.007771723,-0.178560143,-0.268555786,-0.0359426,-0.078807906,0.0567281015,8.9383924969,7.6229724754,0.1063690854,-0.065614303,-0.316582775,0.0742820874,0.3608361475,-0.230796495,0.6654838609
Self-Employed,0,,0.0291299308,0.0302554233,0.1536389802,0.1237529706,1.2048827169,0.0405609186,0.0908800451,0.010016451,0.2719648809,-0.0396791,0.1587874633,8.9383924969,-1.48136665,0.1063690854,-0.006637293,0.0253080111,-0.150526689,0.3608361475,0.1248759354,0.2073945779
Salaried,0,,0.0753758586,0.0302554233,0.1536389802,-0.081315228,1.2048827169,0.0719955737,0.1767150299,-0.203807781,-0.037078319,,0.0567281015,8.9383924969,8.1867741874,0.1063690854,0.0405609186,0.1846451562,0.1099382934,0.3608361475,-0.066752607,0.0234833884
Salaried,0,,-0.048601492,0.1349262712,0.1967973034,0.1237529706,-0.473826314,-0.032543163,0.0257458328,-0.268555786,-0.0359426,,-0.080175627,8.9383924969,8.1867741874,0.1063690854,0.1778342242,0.0253080111,0.1099382934,0.3608361475,0.0416902242,-0.021294451
Salaried,0,,0.2100807577,-0.04391985,0.1536389802,0.1248759354,-0.473826314,0.1778342242,0.0257458328,-0.203807781,0.0897545526,,-0.080175627,8.9383924969,7.6229724754,0.1063690854,0.1248759354,-0.034177189,0.0742820874,0.3608361475,0.0416902242,-0.545780626
Salaried,0,,0.0753758586,-0.088875391,0.0220478549,-0.094560455,0.2134383434,0.0719955737,0.0246152504,-0.136701584,0.2719648809,-0.006502785,-0.081315228,8.9383924969,8.1867741874,0.1063690854,-0.006637293,-0.034177189,-0.00166628,0.3608361475,-0.050871641,-0.021294451
Self-Employed,0,,-0.048601492,-0.088875391,0.1967973034,-0.021956358,0.3746749552,-0.032543163,-0.108773438,-0.268555786,0.2719648809,-0.006502785,0.0567281015,8.9383924969,8.1867741874,0.1063690854,-0.006637293,0.0253080111,0.1099382934,0.3608361475,-0.081315228,-0.097422578
