cust_id,age,gender,marital_status,education_level,employment_type,monthly_income,residence_type,city,state,application_id,application_date,product_type,channel,requested_amount,tenure_months,account_id,account_open_date,current_balance,emi_amount,bureau_score,total_accounts,active_accounts,overdue_accounts,recent_enquiries_6m,broken_ptp_flag,write_off_flag,legal_case_flag,ptp_kept_ratio,default_6m_flag,snapshot_date,credit_card_utilization_pct,past_due_accounts_count,recent_loan_inquiry_flag,repayment_to_due_ratio,early_repayment_flag,salary_credit_3m
CUST000001,36,F,Married,Graduate,Unemployed,35731,Owned,Hortonview,Iowa,APP000001,2022-09-04,Home Loan,DSA,300000,180,ACC000001,2022-08-30,233415,3409.79,672,7,3,2,4,0,0,0,0.98,0,2022-12-31,89.94,2,0,0.76,0,0
CUST000002,41,M,Single,High School,Unemployed,9577,Parental,Jacobsbury,Ohio,APP000002,2022-05-21,Home Loan,DSA,300000,180,ACC000002,2020-08-09,247499,3409.79,338,1,1,2,2,0,0,0,0.73,1,2022-12-31,43.79,1,0,1.15,0,0
CUST000003,34,F,Married,Graduate,Unemployed,23410,Owned,Kennethberg,Oklahoma,APP000003,2022-12-21,Home Loan,DSA,377646,180,ACC000003,2022-01-08,257920,4292.31,726,4,4,1,3,0,0,0,0.79,0,2022-12-31,54.01,1,0,1.08,0,0
CUST000004,38,F,Married,Post Graduate,Unemployed,43470,Rented,West Tiffanyshire,Hawaii,APP000004,2022-08-14,Auto Loan,DSA,150000,12,ACC000004,2022-03-06,136548,13257.25,473,6,4,1,4,0,0,0,0.1,1,2022-12-31,81.21,0,1,0.91,0,0
CUST000005,36,M,Single,High School,Unemployed,39209,Rented,West Douglasview,Illinois,APP000005,2022-03-13,Home Loan,Online,365511,180,ACC000005,2021-06-08,62452,4154.39,876,4,4,0,4,1,0,1,0.83,0,2022-12-31,67.43,1,0,0.85,0,0
CUST000006,68,F,Divorced,High School,Unemployed,29036,Owned,Philipborough,Virginia,APP000006,2022-02-22,Personal Loan,DSA,394138,48,ACC000006,2021-03-02,63983,10186.7,800,7,1,2,1,1,0,0,0.14,0,2022-12-31,72.49,0,0,1.08,0,0
CUST000007,58,F,Married,Graduate,Unemployed,34683,Rented,Spencerstad,Washington,APP000007,2022-12-13,Auto Loan,Online,49417,36,ACC000007,2020-09-25,30856,1617.85,377,5,2,1,1,0,0,0,0.59,0,2022-12-31,27.77,0,1,0.94,0,0
CUST000008,39,F,Married,Post Graduate,Self-employed,49134,Parental,West Kylechester,South Carolina,APP000008,2022-09-26,Home Loan,DSA,300000,180,ACC000008,2022-05-24,29831,3409.79,617,8,3,0,0,0,0,0,0.25,0,2022-12-31,56.02,0,0,0.85,1,2
CUST000009,23,M,Married,Post Graduate,Salaried,25758,Parental,Brendamouth,Utah,APP000009,2022-12-01,Credit Card,Online,209748,12,ACC000009,2022-06-03,30612,18537.88,395,6,1,1,1,0,0,0,0.75,0,2022-12-31,69.14,1,1,0.91,0,2
CUST000010,21,M,Single,High School,Unemployed,8189,Owned,North Meghanland,Vermont,APP000010,2022-10-30,Credit Card,Branch,329917,48,ACC000010,2020-09-22,254685,8526.88,441,4,1,1,2,0,0,0,0.74,1,2022-12-31,29.43,0,1,0.74,0,0
CUST000011,41,M,Married,High School,Unemployed,46333,Owned,Robertsonberg,Missouri,APP000011,2022-08-05,Home Loan,DSA,306872,180,ACC000011,2022-06-08,256367,3487.9,513,7,3,0,3,0,0,0,0.59,1,2022-12-31,24.87,1,1,0.72,0,0
CUST000012,61,F,Single,High School,Salaried,24630,Parental,Riggsland,Delaware,APP000012,2022-11-25,Auto Loan,Online,150000,60,ACC000012,2022-08-22,43610,3261.36,508,8,2,0,4,1,1,0,0.38,0,2022-12-31,93.48,0,0,1.19,0,1
CUST000013,45,M,Single,Post Graduate,Salaried,4482,Owned,Port Robert,South Dakota,APP000013,2022-01-16,Credit Card,Online,458538,12,ACC000013,2021-10-08,122239,40526.35,821,4,1,2,3,0,1,0,0.33,0,2022-12-31,53.91,1,0,1.18,0,1
CUST000014,42,M,Married,Graduate,Salaried,28948,Rented,Henryshire,South Dakota,APP000014,2022-02-17,Home Loan,DSA,300000,180,ACC000014,2021-05-08,277750,3409.79,407,1,1,2,2,1,0,0,0.18,0,2022-12-31,32.17,2,0,0.85,0,1
CUST000015,26,F,Married,Graduate,Self-employed,36751,Rented,North Keithborough,Oregon,APP000015,2022-04-22,Credit Card,DSA,391265,24,ACC000015,2021-01-25,167808,18236.02,432,1,1,2,2,0,0,0,0.8,1,2022-12-31,94.68,2,0,0.91,0,3
CUST000016,50,F,Single,High School,Unemployed,3872,Rented,Burkeburgh,Tennessee,APP000016,2022-11-30,Credit Card,DSA,62093,36,ACC000016,2022-03-18,13298,2032.85,421,6,1,1,3,0,0,0,0.79,0,2022-12-31,92.06,1,1,1.1,0,0
CUST000017,28,F,Single,Post Graduate,Self-employed,28294,Owned,Port Alexander,Alaska,APP000017,2022-10-16,Home Loan,Online,300000,180,ACC000017,2021-11-16,77679,3409.79,880,4,1,2,0,0,0,0,0.77,1,2022-12-31,57.45,3,0,1.04,0,3
CUST000018,31,M,Married,High School,Unemployed,12508,Owned,North Elizabeth,West Virginia,APP000018,2022-11-05,Home Loan,Branch,300000,180,ACC000018,2022-09-29,259954,3409.79,501,9,4,2,3,0,0,0,0.83,0,2022-12-31,85.02,1,1,0.66,0,0
