source,target,weight,stage
bueau_score,bureau_score_flag,0,1
bueau_score,risk_score_band,0,1
bueau_score,high_enquiry_interaction,0,1
bueau_score,bureau_score_bucket,0,1
bueau_score,score_enquiry_score,0,1
total_accounts,over_due_to_total_ratio,0,1
total_accounts,active_account_ratio,0,1
total_accounts,total_accounts_bucket,0,1
total_accounts,accounts_gap,0,1
total_accounts,enquiry_to_account_ratio,0,1
active_accounts,active_account_ratio,0,1
active_accounts,accounts_gap,0,1
overdue_accounts,over_due_to_total_ratio,0,1
overdue_accounts,overdue_flag,0,1
overdue_accounts,overdue_normalized,0,1
recent_enquiries_6m,enquiries_flag,0,1
recent_enquiries_6m,high_enquiry_interaction,0,1
recent_enquiries_6m,score_enquiry_score,0,1
recent_enquiries_6m,enquiry_to_account_ratio,0,1
recent_enquiries_6m,overdue_normalized,0,1
risk_score_band,low_risk_band_flag,0,1
risk_score_band,high_risk_band_flag,0,1
average_balance,avg_balance_flag,0,2
average_balance,high_balance_flag,0,2
average_balance,balance_utilization_score,0,2
average_balance,min_balance_ratio,0,2
minimum_balance,min_balance_ratio,0,2
min_balance_ratio,low_balance_month_flag,0,2
salary_credits_3m,salary_credit_flag,0,2
emi_bounce_count,emi_bounce_flag,0,2
emi_bounce_count,emi_normalized,0,2
account_tenure_months,account_tenure_bucket,0,2
emi_amount,emi_high_flag,0,2
emi_amount,emi_to_income_ratio,0,2
emi_amount,emi_normalized,0,2
emi_amount,balance_utilization_score,0,2
emi_amount,salary_to_emi_ratio,0,2
monthly_income,low_income_flag,0,2
monthly_income,salary_to_emi_ratio,0,2
monthly_income,emi_to_income_ratio,0,2
monthly_income,emi_high_flag,0,2
dpd_m1,dpd_max_days,0,3
dpd_m2,dpd_max_days,0,3
dpd_m3,dpd_max_days,0,3
dpd_m4,dpd_max_days,0,3
dpd_m5,dpd_max_days,0,3
dpd_m6,dpd_max_days,0,3
dpd_m1,dpd_sum_total,0,3
dpd_m2,dpd_sum_total,0,3
dpd_m3,dpd_sum_total,0,3
